episode,episode_reward,episode_steps,success,collision,min_obstacle_distance,final_distance,q1_loss,q2_loss,policy_loss,alpha_loss,alpha,mean_log_prob,total_steps
38,-1039.8527320470532,600,0,0,2.3546097283583642,10.661378445461256,18.824856740633646,17.785377193291982,566.4425661722819,0.14428306623051565,0.1423418917506933,3.073881468375524,21201
39,-293.8090719685487,118,0,1,-0.013950078407178879,9.438782232985147,18.852251101348358,17.493360737622794,565.565801846779,0.09348506265777652,0.14494278029365054,3.048292252977016,21319
40,-1092.187812914856,600,0,0,2.114497312483938,10.332632468119112,19.191583229700726,17.596410334904988,561.620045928955,0.10508980403654278,0.14697684603432815,3.054751331806183,21919
41,-2591.8225648987723,600,0,0,1.0695026267247028,11.095007955030075,19.376635556221007,17.778883334795633,555.7353312683106,0.011733882849415143,0.14949041560292245,3.0060739382108053,22519
42,-440.4282420841317,600,0,0,2.398018150757158,11.085050934842467,19.288053274154663,17.873992643356324,550.6166244506836,-0.07958147821327051,0.14796353717645008,2.958243507146835,23119
43,-1945.6582211856874,600,0,0,3.515163001470949,11.198958804540933,18.845539471308392,17.196947780450184,546.6369125874837,0.033005735048403345,0.14595753498375416,3.0170433282852174,23719
44,-3617.6174854908977,600,0,0,0.33973145073566513,10.876387382594235,20.798915395736696,19.402293937206267,538.3762334696452,-0.042292007381717366,0.14713886251052222,2.977823681433996,24319
45,29.450111766423394,600,0,0,3.2594587389525254,10.155021221589267,20.376780263582866,19.221582436561583,534.1251512145996,-0.18563304680710038,0.1430293956398964,2.9043992912769316,24919
46,30.20015628987577,600,0,0,3.823619284763137,10.1500324840295,20.86291367371877,20.658119407494862,526.087388305664,-0.29728763465459146,0.1354573221753041,2.8512126092116037,25519
47,38.48482525471064,600,0,0,3.6369466403379196,9.483736682205427,20.709418557484945,20.35400978088379,520.2058180236817,-0.13649469830406208,0.12781183175742628,2.9332778332630793,26119
48,39.64345501921646,600,0,0,3.514175687454127,9.380062153464628,18.807432966232298,18.98747629960378,508.8507231648763,-0.009862457724908987,0.12589030280709268,2.9951181681950887,26719
49,39.83821825355015,600,0,0,1.6959203825582287,9.411854719131094,20.446233639717104,20.643957386016847,503.78441955566404,0.037521743606776,0.1278515938669443,3.018051344950994,27319
50,-337.91792067779875,600,0,0,0.20311889278355832,9.871022865732064,21.90813002983729,21.2484268728892,492.41452840169273,-0.13613807259127497,0.12603288610776264,2.934197728037834,27919
51,40.420730659114234,600,0,0,2.162491729211114,9.402897640793796,21.272982652982076,20.912751302719116,485.3236344401042,0.07693705563433469,0.12423324740181367,3.036832335392634,28519
52,39.30125194079137,600,0,0,1.2650984364144198,9.412619806379467,21.105961936314902,21.325998770395916,476.45307200113933,-0.19902084064669906,0.12417720574885607,2.904841665824254,29119
53,49.749848881118936,600,0,0,2.6452799917406518,8.819850495831767,21.96651690721512,21.501228459676106,468.4522469075521,0.01647111641553541,0.11908987195541461,3.007661750713984,29719
54,49.96139695270051,600,0,0,1.1158205094599665,8.753826173363079,21.659971550305684,21.309132871627806,456.5358620707194,0.07805416481258969,0.12162232289711634,3.0370483883221944,30319
55,46.966309157387954,600,0,0,0.8042558728390612,8.981132559982152,21.24863178173701,20.020463061332702,451.3526412963867,0.009044351559132337,0.12372377490003904,3.0042192846536637,30919
56,44.30021035773814,600,0,0,1.4174260888072434,9.153496861179033,22.060800908406577,20.70309604803721,439.21739547729493,-0.007662349299838145,0.12339796024064223,2.996255050500234,31519
57,45.15821072719966,600,0,0,0.626867101252943,9.001416863388888,22.53090854962667,21.563396095434825,431.38556584676104,-0.04905274037582179,0.12293041889866194,2.976562033692996,32119
58,-1621.796660920625,600,0,0,0.1262565947957442,8.944241774127745,23.122584506670634,21.501027301947275,420.3031820678711,-0.12678414671992264,0.11976299119492372,2.9401805357138318,32719
59,54.00243365750036,600,0,0,2.22382338575089,8.529458870444092,23.746968415578205,21.99672494093577,410.4863562520345,-0.14252574482001365,0.11464652980367343,2.9338343568642933,33319
60,-63.4877149854027,600,0,0,0.36055636600023067,8.278346537313661,25.365094742774964,23.071826332410176,404.48006357828774,0.00042514304630458355,0.11419345811009407,3.000125652750333,33919
61,45.78779794293036,600,0,0,3.237005556653056,9.02229106241634,27.41992777824402,25.372136278152468,396.05282964070636,-0.08040369210764765,0.11193096540868282,2.963177994887034,34519
62,34.514055266128004,600,0,0,0.5059441505331002,8.93795373367309,27.25044993877411,25.43729727109273,389.47251810709633,-0.12393914387871821,0.10874240268021822,2.944004888534546,35119
63,47.691347337634134,600,0,0,0.7719928086507708,8.929048860956259,27.425867768923442,25.180300927162172,381.7112225341797,-0.22812800211831927,0.10378885968277851,2.8991613868872324,35719
64,33.22378782452735,600,0,0,0.5609327117748738,8.083204986763212,28.231051615079245,26.098241106669107,374.19065144856773,-0.007302743510032694,0.10137482980887096,2.9967292392253877,36319
65,49.09344222622783,600,0,0,1.3690920486397822,8.802368832943825,27.349724817276,25.786295003096264,367.47710057576495,-0.09126059000069896,0.0983076730867227,2.960406094789505,36919
66,-229.954250378087,303,0,1,-0.01872070345860527,8.510462894874502,27.61945105071115,25.920390245544635,363.1963349899443,0.05217838128137313,0.09850693656371372,3.0224594833827254,37222
67,45.83986129534276,600,0,0,0.8629378950261164,9.074877463894353,29.26748892148336,27.664299159844717,358.72804066975914,-0.13067178053160508,0.09749688180784384,2.943914847771327,37822
