episode,total_steps,train_reward,train_success,train_collision,train_steps,train_final_distance,train_min_clearance,train_path_length,alpha,eval_reward_mean,eval_success_rate,eval_collision_rate,eval_steps_mean,eval_final_distance_mean,eval_min_clearance_mean,eval_path_length_mean,best_score
1,320,-407.52905774116516,0.0,0.0,320,16.783288955688477,3.9208908081054688,9.72924906964181,0.19999998807907104,-761.2544302746653,0.0,0.0,420.0,25.247043132781982,3.63594012260437,25.328951695453725,-2031.43706628402
2,640,-361.96903797984123,0.0,0.0,320,15.287816047668457,3.899374485015869,5.202076591114746,0.19999998807907104,,,,,,,,
3,960,-173.59510481730103,0.0,0.0,320,10.582179069519043,3.792581558227539,10.287136550585274,0.19999998807907104,,,,,,,,
4,1280,-438.88005044311285,0.0,0.0,320,17.668865203857422,3.921626567840576,8.5219329923857,0.1841510534286499,,,,,,,,
5,1600,-138.5991890821606,0.0,0.0,320,9.799798011779785,1.857227087020874,6.020651140715927,0.1676512509584427,,,,,,,,
6,1920,-296.2402457892895,0.0,0.0,320,13.452616691589355,3.8926339149475098,5.641704738838598,0.15298709273338318,,,,,,,,
7,2240,-431.2023974061012,0.0,0.0,320,17.252864837646484,3.8820228576660156,7.1055228601326235,0.14061573147773743,,,,,,,,
8,2560,-520.5077325701714,0.0,0.0,320,19.771682739257812,4.010140419006348,9.16940115293255,0.13095322251319885,,,,,,,,
9,2880,-545.3598119318485,0.0,0.0,320,20.104385375976562,3.9297566413879395,9.397672118153423,0.12315245717763901,,,,,,,,
10,3200,-177.61640460044146,0.0,0.0,320,11.701277732849121,0.5984463691711426,26.164601835014764,0.11685192584991455,-344.3019248098135,0.0,1.0,57.65,7.320678853988648,-0.0436894029378891,4.249429134617094,-667.1984686951619
11,3520,-557.7292000129819,0.0,0.0,320,15.877598762512207,0.07502233982086182,36.80913757404778,0.11258387565612793,,,,,,,,
12,3592,-278.157692046836,0.0,1.0,72,4.758144378662109,-0.12752068042755127,6.664856791263446,0.111800916492939,,,,,,,,
13,3664,-414.63011717796326,0.0,1.0,72,4.7965407371521,-0.10762220621109009,6.387491445988417,0.11091360449790955,,,,,,,,
14,3721,-334.94142550975084,0.0,1.0,57,7.253273010253906,-0.11753588914871216,4.096900587901473,0.1099759042263031,,,,,,,,
15,3781,-333.92357237264514,0.0,1.0,60,7.391158580780029,-0.0010739564895629883,4.089910693815909,0.10906822234392166,,,,,,,,
16,4101,-158.81899187876843,0.0,0.0,320,11.175427436828613,0.8042082786560059,34.82323023863137,0.1073957085609436,,,,,,,,
17,4155,-318.089093670249,0.0,1.0,54,7.38433837890625,-0.01737987995147705,4.095586909912527,0.1071997582912445,,,,,,,,
18,4214,-347.59671399742365,0.0,1.0,59,7.313445091247559,-0.05611836910247803,4.195574802113697,0.1071612685918808,,,,,,,,
19,4271,-332.3237073235214,0.0,1.0,57,7.189698696136475,-0.10583311319351196,4.276045454898849,0.10712045431137085,,,,,,,,
