episode,success_rate,avg_steps,avg_min_obstacle_distance,eval_score
50,0.0,0.0,2.308239909087591,-93.739430042578
100,0.0,0.0,1.62449820715652,-82.14377576693684
150,0.0,0.0,1.6496669058716986,-89.0026618743729
200,0.0,0.0,2.4816061399882634,-117.64550417373603
250,0.0,0.0,2.8425811648667514,-144.63233852516314
300,0.0,0.0,1.422639478896087,-17.372957099082054
350,0.0,0.0,1.5020425887999085,7.99835596693527
400,0.0,0.0,0.8822038675447988,-9.8652936624299
450,0.0,0.0,0.8094501630988452,93.13602672450703
500,0.0,0.0,0.8847882825702001,41.80290169717618
550,0.0,0.0,0.9641344499398125,182.9585354273292
600,0.0,0.0,0.6913894650435116,104.51232045596336
650,0.0,0.0,0.8137516693763182,215.02258832199414
700,0.0,0.0,0.8734538634371333,182.51345319509014
750,0.4,371.25,0.8455926689645249,607.3373841685791
800,0.0,0.0,0.7871512671363389,266.11815127979463
850,0.4,359.5,0.7942653168698066,532.4751551141646
900,0.8,250.0,0.9215408862781185,1053.569175483295
950,0.9,218.88888888888889,0.987080790848751,1103.9
1000,0.2,434.0,0.8119471417171636,355.8709662870216
1050,0.7,219.0,1.029847152352117,977.3894572448393
1100,1.0,187.1,1.037402002828489,1313.9
1150,0.1,227.0,0.8424980081401433,369.3242314215979
1200,0.9,190.0,0.9953129800862645,1204.5065815603439
1250,1.0,182.9,1.1762810271020192,1318.1
1300,0.8,185.875,1.2767524754847654,1108.7012131767544
1350,0.5,262.2,0.9506551356801494,758.1060406209278
1400,1.0,166.4,0.8455470069644043,1334.6
1450,0.8,189.125,1.1296688248132278,1095.425811106094
1500,0.5,215.4,0.9809125787105624,703.9164507563916
1550,1.0,206.1,1.0251161192207991,1294.9
1600,0.9,154.22222222222223,0.8840661642763852,1239.387415595425
1650,0.8,136.5,1.0064377496573589,1069.9376556052541
1700,0.9,191.44444444444446,0.8500897599002306,1204.0066913080523
1750,0.9,171.77777777777777,0.8011577503274763,1146.3
1800,1.0,180.7,1.0321128336860683,1320.3
1850,1.0,154.5,1.1384112420652346,1346.5
1900,0.8,132.75,1.0120933672912487,994.6
1950,1.0,124.8,0.9684595601539359,1376.2
2000,0.9,141.11111111111111,0.8435482266587622,1173.9
2050,1.0,135.5,0.8418660046256005,1365.5
2100,1.0,149.4,0.9472464346334313,1351.6
2150,0.9,136.44444444444446,1.0147181163936625,1178.1
2200,0.9,150.44444444444446,1.0115135562380777,1243.7033995452325
2250,0.9,132.44444444444446,0.8545006030788228,1181.7
2300,1.0,142.6,0.9788247365637319,1358.4
2350,1.0,122.3,1.1828045386924706,1378.7
2400,1.0,119.0,1.0873797937851795,1382.0
2450,1.0,124.9,1.0255251869684454,1376.1
2500,0.8,147.75,0.7873121942828577,982.6
2550,0.9,121.77777777777777,0.943090236319034,1191.3
2600,1.0,127.7,0.9908499731150837,1373.3
2650,1.0,127.5,1.175990490910794,1373.5
2700,0.7,158.85714285714286,0.8040219915418682,943.6751004384754
2750,0.9,123.55555555555556,0.8723236972798164,1189.7
2800,1.0,125.7,1.0974299569035308,1375.3
